x_title,y_cat_id,cat_1,cat_2,cat_3
unqualified asbestos remover,5192,trades services,labourers,labourers
furniture removalist,5192,trades services,labourers,labourers
civil carpenter,5192,trades services,labourers,labourers
labourer,5192,trades services,labourers,labourers
dun reliable labourers,5192,trades services,labourers,labourers
labourer,5192,trades services,labourers,labourers
steel fixers required - throughout canterbury,5192,trades services,labourers,labourers
concrete labourer,5192,trades services,labourers,labourers
general labourers required in wellington,5192,trades services,labourers,labourers
skilled labourers,5192,trades services,labourers,labourers
labourer frame truss,5192,trades services,labourers,labourers
commercial construction labourers wanted,5192,trades services,labourers,labourers
steel fixers - throughout west coast,5192,trades services,labourers,labourers
general labourer,5192,trades services,labourers,labourers
labourers in the cbd - attention,5192,trades services,labourers,labourers
labourers wanted wellington,5192,trades services,labourers,labourers
drainlayer,5192,trades services,labourers,labourers
road marking labourer,5192,trades services,labourers,labourers
casual event labourers,5192,trades services,labourers,labourers
civil labourer,5192,trades services,labourers,labourers
precast workers,5192,trades services,labourers,labourers
concrete labourers,5192,trades services,labourers,labourers
general labourer,5192,trades services,labourers,labourers
hammerhand,5192,trades services,labourers,labourers
forklift / general labourer,5192,trades services,labourers,labourers
recycling labourer,5192,trades services,labourers,labourers
insulation installers - needed today - akl,5192,trades services,labourers,labourers
office furniture installer,5192,trades services,labourers,labourers
insulation installers - needed today - akl,5192,trades services,labourers,labourers
multiple jobs available,5192,trades services,labourers,labourers
exterior plasterer / painter,5192,trades services,labourers,labourers
skilled civil labourers - auckland,5192,trades services,labourers,labourers
strong and reliable with an excellent ethic,5192,trades services,labourers,labourers
trades work,5192,trades services,labourers,labourers
casual labourers,5192,trades services,labourers,labourers
landscaping labourers,5192,trades services,labourers,labourers
foreman tradesman welder fabricator,5192,trades services,labourers,labourers
digger driver,5192,trades services,labourers,labourers
insulation installers - needed today - waikato,5192,trades services,labourers,labourers
labourers - northshore,5192,trades services,labourers,labourers
traffic controller,5192,trades services,labourers,labourers
maintenance patrolman,5192,trades services,labourers,labourers
labourers in hutt valley - attention,5192,trades services,labourers,labourers
warehouse person wanted at auckland east tamaki,5192,trades services,labourers,labourers
general labourers,5192,trades services,labourers,labourers
furniture removal labourer,5192,trades services,labourers,labourers
labourers / devanners,5192,trades services,labourers,labourers
class 1 driver/labourer,5192,trades services,labourers,labourers
