Index,Unique_Tag
0,in-house counsel
1,residential sales & management
2,architecture
3,traffic management
4,executive & general management
5,brand & product management
6,"banking, finance & insurance"
7,automotive
8,interior design
9,sign writers
10,nursing & midwifery
11,general / ca
12,engineering
13,analysts
14,site management
15,building & carpentry
16,truck ht
17,kitchen staff
18,supply chain & planning
19,risk & compliance
20,civil & structural
21,client services
22,merchandising
23,primary
24,construction & roading
25,caregiving
26,accounts receivable
27,medical
28,paediatrics
29,telesales
30,planning
31,farming
32,mechanical
33,roofing
34,recruitment
35,tourism & tour guides
36,boat building
37,tutoring & training
38,cleaning
39,advertising
40,healthcare
41,drivers & couriers
42,defence
43,housekeeping
44,hr
45,quantity surveying
46,printing
47,painting
48,hr & recruitment
49,sales reps
50,machine operators
51,couriers
52,au pairs & nannies
53,pharmacy
54,management accountants
55,surgical
56,science & technology
57,sales support
58,sales & pre-sales
59,digital marketing
60,accountants
61,customer-facing
62,mental health
63,dentistry
64,design
65,architects
66,tertiary
67,tellers & branch staff
68,storepersons & warehousing
69,government & council
70,networking & storage
71,sales managers
72,glaziers
73,air con. & refrigeration
74,gardening & landscaping
75,marketing assistants & coordinators
76,financial planning & investment
77,property
78,retail
79,energy
80,communications & pr
81,supervisors & forepersons
82,occupational therapy
83,bar staff & baristas
84,programming & development
85,reception & front desk
86,labourers
87,service desk
88,plumbing
89,technicians
90,facilities & commercial property management
91,account management
92,environmental
93,women’s health
94,consultancy & valuation
95,geotechnical
96,forestry
97,quality assurance
98,radiography & sonography
99,testing
100,accounts payable
101,process & assembly
102,department managers
103,finance managers & controllers
104,database
105,industrial
106,electrical
107,transport & logistics
108,it
109,education
110,credit & lending
111,secretarial
112,audit
113,theatre & recovery
114,call centre
115,administration
116,water & waste
117,"sales, operations & parts"
118,local & regional council
119,data warehousing & bi
120,"agriculture, fishing & forestry"
121,drafting
122,systems engineers
123,community & primary care
124,psychology & counselling
125,payroll
126,legal
127,security
128,retail assistants
129,accounting
130,hospitality & tourism
131,office & administration
132,project & contracts management
133,warehouse & distribution
134,market research & analysis
135,corporate & institutional banking
136,"marketing, media & communications"
137,import & export
138,chefs
139,diesel mechanic
140,reception
141,secondary
142,business advisory services
143,boilermakers & welders
144,building services
145,fitters & machining
146,travel consultants
147,journalism
148,flooring
149,financial accounting & reporting
150,project management
151,veterinary
152,fishing
153,commercial sales & leasing
154,early childhood
155,critical care & emergency
156,panel & paint
157,accounts administrators
158,trades & services
159,manufacturing & operations
160,maintenance
161,business development manager
162,doctors & specialists
163,office management
164,area managers
165,direct marketing
166,central government
167,private practice
168,data entry
169,training
170,automotive technician
171,store managers
172,management
173,beautician
174,operations
175,web design
176,"ea, pa & secretarial"
177,surveying
178,fitness & wellbeing
179,purchasing & inventory
180,tax
181,waiting staff
182,assistant store managers
183,freight forwarders
184,buying
185,horticulture
186,estimation
187,hairdressing
188,butchers & bakers
189,handy-persons
190,health & safety
191,business & systems analysts
192,labouring
193,assistant accountants
194,community & social services
195,insurance
196,functional consultants
197,customer service
198,machine operation
199,telecommunications
200,sales
