x_title,cat,Tag
operations manager,area managers,0
operations manager,kitchen staff,0
operations manager,sales support,0
operations manager,risk & compliance,0
operations manager,tertiary,0
operations manager,marketing assistants & coordinators,0
operations manager,healthcare,0
operations manager,call centre,0
operations manager,sales & pre-sales,0
operations manager,supply chain & planning,0
operations manager,gardening & landscaping,0
operations manager,community & primary care,0
operations manager,community & social services,0
operations manager,fitters & machining,0
operations manager,estimation,0
operations manager,business & systems analysts,0
operations manager,customer-facing,0
operations manager,retail,0
operations manager,theatre & recovery,0
operations manager,sign writers,0
operations manager,testing,0
operations manager,interior design,0
operations manager,critical care & emergency,0
operations manager,trades & services,0
operations manager,government & council,0
operations manager,hr,0
operations manager,secondary,0
operations manager,handy-persons,0
operations manager,purchasing & inventory,0
operations manager,general / ca,0
operations manager,customer service,0
operations manager,women’s health,0
operations manager,retail assistants,0
operations manager,nursing & midwifery,0
project manager,automotive,0
project manager,management,0
project manager,maintenance,0
project manager,travel consultants,0
project manager,"marketing, media & communications",0
project manager,client services,0
project manager,plumbing,0
project manager,glaziers,0
project manager,labourers,0
project manager,freight forwarders,0
project manager,interior design,0
project manager,accountants,0
project manager,commercial sales & leasing,0
project manager,flooring,0
project manager,building services,0
project manager,tellers & branch staff,0
project manager,market research & analysis,0
project manager,roofing,0
project manager,drafting,0
project manager,account management,0
project manager,community & social services,0
project manager,handy-persons,0
project manager,paediatrics,0
project manager,functional consultants,0
project manager,technicians,0
project manager,civil & structural,0
project manager,recruitment,0
project manager,credit & lending,0
project manager,digital marketing,0
project manager,critical care & emergency,0
business development manager,"agriculture, fishing & forestry",0
business development manager,corporate & institutional banking,0
business development manager,accounting,0
business development manager,business & systems analysts,0
business development manager,project & contracts management,0
business development manager,tertiary,0
business development manager,doctors & specialists,0
business development manager,technicians,0
business development manager,web design,0
business development manager,store managers,0
business development manager,air con. & refrigeration,0
business development manager,process & assembly,0
business development manager,construction & roading,0
business development manager,building services,0
business development manager,administration,0
business development manager,local & regional council,0
business development manager,data warehousing & bi,0
business development manager,recruitment,0
business development manager,call centre,0
business development manager,occupational therapy,0
business development manager,digital marketing,0
business development manager,programming & development,0
business development manager,government & council,0
business development manager,tourism & tour guides,0
business development manager,planning,0
business development manager,drivers & couriers,0
business development manager,couriers,0
business development manager,transport & logistics,0
business development manager,kitchen staff,0
business development manager,analysts,0
service technician,bar staff & baristas,0
service technician,energy,0
service technician,surveying,0
service technician,sales support,0
service technician,residential sales & management,0
service technician,networking & storage,0
service technician,data entry,0
service technician,warehouse & distribution,0
service technician,area managers,0
service technician,reception & front desk,0
service technician,health & safety,0
service technician,industrial,0
service technician,management,0
service technician,reception,0
service technician,merchandising,0
service technician,assistant store managers,0
service technician,fishing,0
service technician,local & regional council,0
service technician,executive & general management,0
service technician,maintenance,0
service technician,mental health,0
service technician,risk & compliance,0
service technician,corporate & institutional banking,0
service technician,market research & analysis,0
service technician,"banking, finance & insurance",0
service technician,central government,0
service technician,roofing,0
service technician,security,0
branch manager,residential sales & management,0
branch manager,office & administration,0
branch manager,project & contracts management,0
branch manager,training,0
branch manager,traffic management,0
branch manager,building services,0
branch manager,panel & paint,0
branch manager,direct marketing,0
branch manager,business & systems analysts,0
branch manager,customer-facing,0
branch manager,drafting,0
branch manager,couriers,0
branch manager,management,0
branch manager,project management,0
branch manager,housekeeping,0
branch manager,advertising,0
branch manager,waiting staff,0
branch manager,flooring,0
branch manager,secretarial,0
branch manager,corporate & institutional banking,0
branch manager,labouring,0
branch manager,quality assurance,0
branch manager,reception & front desk,0
branch manager,reception,0
customer service representative,machine operators,0
customer service representative,boilermakers & welders,0
customer service representative,secondary,0
customer service representative,analysts,0
customer service representative,database,0
customer service representative,"marketing, media & communications",0
customer service representative,networking & storage,0
customer service representative,chefs,0
customer service representative,process & assembly,0
customer service representative,defence,0
customer service representative,healthcare,0
customer service representative,department managers,0
customer service representative,labourers,0
customer service representative,sales reps,0
customer service representative,engineering,0
customer service representative,accounts payable,0
customer service representative,health & safety,0
customer service representative,psychology & counselling,0
customer service representative,nursing & midwifery,0
customer service representative,automotive,0
customer service representative,brand & product management,0
customer service representative,purchasing & inventory,0
customer service representative,building & carpentry,0
customer service representative,design,0
assistant manager,printing,0
assistant manager,primary,0
assistant manager,radiography & sonography,0
assistant manager,sales support,0
assistant manager,flooring,0
assistant manager,diesel mechanic,0
assistant manager,buying,0
assistant manager,tertiary,0
assistant manager,purchasing & inventory,0
assistant manager,construction & roading,0
assistant manager,digital marketing,0
assistant manager,consultancy & valuation,0
assistant manager,labouring,0
assistant manager,storepersons & warehousing,0
assistant manager,customer service,0
assistant manager,painting,0
assistant manager,traffic management,0
assistant manager,service desk,0
assistant manager,assistant accountants,0
assistant manager,doctors & specialists,0
assistant manager,testing,0
assistant manager,electrical,0
office manager,secondary,0
office manager,government & council,0
office manager,geotechnical,0
office manager,planning,0
office manager,fishing,0
office manager,business & systems analysts,0
office manager,call centre,0
office manager,paediatrics,0
office manager,data entry,0
office manager,education,0
office manager,service desk,0
office manager,financial accounting & reporting,0
office manager,assistant accountants,0
office manager,roofing,0
office manager,building services,0
office manager,management accountants,0
office manager,housekeeping,0
office manager,risk & compliance,0
office manager,fitters & machining,0
office manager,central government,0
office manager,quality assurance,0
office manager,doctors & specialists,0
registered nurse,service desk,0
registered nurse,waiting staff,0
registered nurse,fishing,0
registered nurse,sign writers,0
registered nurse,surgical,0
registered nurse,warehouse & distribution,0
registered nurse,surveying,0
registered nurse,water & waste,0
registered nurse,psychology & counselling,0
registered nurse,labourers,0
registered nurse,maintenance,0
registered nurse,customer service,0
registered nurse,travel consultants,0
registered nurse,fitness & wellbeing,0
registered nurse,recruitment,0
registered nurse,advertising,0
registered nurse,education,0
registered nurse,au pairs & nannies,0
registered nurse,merchandising,0
registered nurse,drafting,0
registered nurse,financial planning & investment,0
registered nurse,truck ht,0
office administrator,corporate & institutional banking,0
office administrator,"sales, operations & parts",0
office administrator,analysts,0
office administrator,tax,0
office administrator,audit,0
office administrator,theatre & recovery,0
office administrator,interior design,0
office administrator,call centre,0
office administrator,process & assembly,0
office administrator,buying,0
office administrator,accountants,0
office administrator,financial accounting & reporting,0
office administrator,brand & product management,0
office administrator,architecture,0
office administrator,project management,0
office administrator,education,0
office administrator,construction & roading,0
office administrator,office & administration,0
office administrator,sales reps,0
office administrator,accounting,0
office administrator,machine operation,0
office administrator,consultancy & valuation,0
labourer,secondary,0
labourer,web design,0
labourer,doctors & specialists,0
labourer,journalism,0
labourer,healthcare,0
labourer,radiography & sonography,0
labourer,government & council,0
labourer,networking & storage,0
labourer,security,0
labourer,psychology & counselling,0
labourer,building services,0
labourer,store managers,0
labourer,drivers & couriers,0
labourer,market research & analysis,0
labourer,critical care & emergency,0
labourer,fitters & machining,0
labourer,panel & paint,0
labourer,assistant accountants,0
labourer,labouring,0
labourer,data entry,0
labourer,training,0
labourer,civil & structural,0
store manager,communications & pr,0
store manager,"marketing, media & communications",0
